# phone_timestamp_us, pc_timestamp_us
113708399912, 1781790264561845
113708433258, 1781790264595153
113708466603, 1781790264628956
113708499948, 1781790264661952
113708533294, 1781790264694979
113708566639, 1781790264729016
113708599984, 1781790264762145
113708633329, 1781790264794882
113708666675, 1781790264828841
113708700020, 1781790264861741
113708733365, 1781790264895449
113708766711, 1781790264928644
113708800056, 1781790264961468
113708833401, 1781790264994842
113708866747, 1781790265028638
113708900092, 1781790265067683
113708933437, 1781790265095297
113708966783, 1781790265128317
113709000128, 1781790265161636
113709033473, 1781790265194900
113709066819, 1781790265228628
113709100164, 1781790265261963
113709133509, 1781790265294943
113709166854, 1781790265328868
113709200200, 1781790265362145
113709233545, 1781790265395316
113709266890, 1781790265428761
113709300236, 1781790265461778
113709333581, 1781790265494912
113709366926, 1781790265528511
113709400272, 1781790265561840
113709433617, 1781790265594922
113709466962, 1781790265629022
113709500308, 1781790265662138
113709533653, 1781790265695100
113709566998, 1781790265728227
113709600343, 1781790265761479
113709633689, 1781790265794725
113709667034, 1781790265828840
113709700379, 1781790265861755
113709733725, 1781790265895025
113709767070, 1781790265932792
113709800415, 1781790265961744
113709833761, 1781790265994920
113709867106, 1781790266030068
113709900451, 1781790266062050
113709933797, 1781790266094897
113709967142, 1781790266128279
113710000487, 1781790266161834
113710033832, 1781790266194925
113710067178, 1781790266229456
113710100523, 1781790266262069
113710133868, 1781790266295393
113710167214, 1781790266328216
113710200559, 1781790266361931
113710233904, 1781790266395455
113710267250, 1781790266428496
113710300595, 1781790266461556
113710333940, 1781790266495125
113710367285, 1781790266528278
113710400631, 1781790266561698
113710433976, 1781790266595219
113710467321, 1781790266628483
113710500667, 1781790266661753
113710534012, 1781790266695511
113710567357, 1781790266728719
113710600702, 1781790266762115
113710634048, 1781790266795464
113710667393, 1781790266828814
113710700738, 1781790266861896
113710734084, 1781790266895406
113710767429, 1781790266928389
113710800774, 1781790266962065
113710834120, 1781790266994882
113710867465, 1781790267028222
113710900810, 1781790267061979
113710934156, 1781790267095613
113710967501, 1781790267128833
113711000846, 1781790267162187
113711034191, 1781790267195472
113711067537, 1781790267228854
113711100882, 1781790267261864
113711134227, 1781790267295291
113711167573, 1781790267328230
113711200918, 1781790267361571
113711234263, 1781790267395351
113711267608, 1781790267430767
113711300954, 1781790267462726
113711334299, 1781790267495615
113711367644, 1781790267529053
113711400990, 1781790267562739
113711434335, 1781790267596167
113711467680, 1781790267629477
113711501026, 1781790267662582
113711534371, 1781790267695723
113711567716, 1781790267729218
113711601061, 1781790267762633
113711634407, 1781790267795857
113711667752, 1781790267828834
113711701097, 1781790267862659
113711734443, 1781790267895846
113711767788, 1781790267929057
113711801133, 1781790267962834
113711834478, 1781790267995180
113711867824, 1781790268036616
113711901169, 1781790268062555
113711934514, 1781790268095420
113711967860, 1781790268128805
113712001205, 1781790268161807
113712034550, 1781790268194809
113712067895, 1781790268228467
113712101241, 1781790268261878
113712134586, 1781790268295067
113712167931, 1781790268328557
113712201277, 1781790268361529
113712234622, 1781790268395242
113712267967, 1781790268428494
113712301312, 1781790268461808
113712334658, 1781790268494965
113712368003, 1781790268528581
113712401348, 1781790268562034
113712434694, 1781790268594863
113712468039, 1781790268628822
113712501384, 1781790268661926
113712534729, 1781790268694960
113712568075, 1781790268728229
113712601420, 1781790268762822
113712634765, 1781790268795337
113712668111, 1781790268828780
113712701456, 1781790268861653
113712734801, 1781790268895307
113712768146, 1781790268929282
113712801492, 1781790268961658
113712834837, 1781790268995062
113712868182, 1781790269029111
113712901528, 1781790269061991
113712934873, 1781790269095077
113712968218, 1781790269128299
113713001563, 1781790269161605
113713034909, 1781790269195477
113713068254, 1781790269228799
113713101599, 1781790269262073
113713134944, 1781790269295243
113713168290, 1781790269328455
113713201635, 1781790269361557
113713234980, 1781790269395252
113713268326, 1781790269428824
113713301671, 1781790269462317
113713335016, 1781790269495258
113713368361, 1781790269531071
113713401707, 1781790269562595
113713435052, 1781790269594777
113713468397, 1781790269628535
113713501743, 1781790269661681
113713535088, 1781790269694851
113713568433, 1781790269728636
113713601778, 1781790269762171
113713635124, 1781790269794835
113713668469, 1781790269828288
113713701814, 1781790269861607
113713735159, 1781790269895029
113713768505, 1781790269928155
113713801850, 1781790269961425
113713835195, 1781790269994822
113713868541, 1781790270028376
113713901886, 1781790270061556
113713935231, 1781790270095012
113713968576, 1781790270128078
113714001922, 1781790270161679
113714035267, 1781790270194757
113714068612, 1781790270228353
113714101957, 1781790270261938
113714135303, 1781790270295124
113714168648, 1781790270328155
113714201993, 1781790270361623
113714235338, 1781790270395222
113714268684, 1781790270428412
113714302029, 1781790270462050
113714335374, 1781790270495002
113714368719, 1781790270528304
113714402065, 1781790270561617
113714435410, 1781790270594905
113714468755, 1781790270628771
113714502100, 1781790270661519
113714535446, 1781790270695225
113714568791, 1781790270728735
113714602136, 1781790270761887
113714635482, 1781790270795268
113714668827, 1781790270828599
113714702172, 1781790270861800
113714735517, 1781790270895332
113714768863, 1781790270928846
113714802208, 1781790270961638
113714835553, 1781790270994756
113714868898, 1781790271031540
113714902244, 1781790271062112
113714935589, 1781790271095106
113714968934, 1781790271128302
113715002279, 1781790271161464
113715035625, 1781790271194916
113715068970, 1781790271228742
113715102315, 1781790271263202
113715135660, 1781790271295422
113715169006, 1781790271328484
113715202351, 1781790271361629
113715235696, 1781790271395333
113715269042, 1781790271428774
113715302387, 1781790271461571
113715335732, 1781790271495213
113715369077, 1781790271528486
113715402423, 1781790271561483
113715435768, 1781790271594765
113715469113, 1781790271628863
113715502458, 1781790271662062
113715535803, 1781790271695074
113715569149, 1781790271728506
113715602494, 1781790271761474
113715635839, 1781790271803796
113715669184, 1781790271828730
113715702530, 1781790271861650
113715735875, 1781790271895057
113715769220, 1781790271928760
113715802565, 1781790271962024
113715835911, 1781790271995204
113715869256, 1781790272028726
113715902601, 1781790272061624
113715935947, 1781790272094596
113715969292, 1781790272128264
113716002637, 1781790272161786
113716035982, 1781790272194989
113716069328, 1781790272228678
113716102673, 1781790272261523
113716136018, 1781790272295181
113716169363, 1781790272328354
113716202708, 1781790272361360
113716236054, 1781790272395620
113716269399, 1781790272428635
113716302744, 1781790272461550
113716336090, 1781790272494900
113716369435, 1781790272528679
113716402780, 1781790272561837
113716436125, 1781790272595070
113716469471, 1781790272628870
113716502816, 1781790272661410
113716536161, 1781790272694861
113716569506, 1781790272728752
113716602851, 1781790272761978
113716636197, 1781790272795212
113716669542, 1781790272828944
113716702887, 1781790272862413
113716736232, 1781790272895474
113716769578, 1781790272928758
113716802923, 1781790272961718
113716836268, 1781790272994927
113716869613, 1781790273028447
113716902959, 1781790273061893
113716936304, 1781790273095324
113716969649, 1781790273130201
113717002995, 1781790273165399
113717036340, 1781790273195223
113717069685, 1781790273228427
113717103030, 1781790273261366
113717136375, 1781790273294796
113717169721, 1781790273328620
113717203066, 1781790273361335
113717236411, 1781790273395233
113717269756, 1781790273428801
113717303102, 1781790273462410
113717336447, 1781790273495339
113717369792, 1781790273528740
113717403137, 1781790273561380
113717436483, 1781790273594976
113717469828, 1781790273628775
113717503173, 1781790273661429
113717536518, 1781790273695070
113717569864, 1781790273730714
113717603209, 1781790273762700
113717636554, 1781790273795387
113717669899, 1781790273828280
113717703244, 1781790273861440
113717736590, 1781790273895439
113717769935, 1781790273928292
113717803280, 1781790273961581
113717836625, 1781790273994787
113717869971, 1781790274034523
113717903316, 1781790274061639
113717936661, 1781790274095210
113717970007, 1781790274128530
113718003352, 1781790274161536
113718036697, 1781790274194740
113718070042, 1781790274228564
113718103387, 1781790274261900
113718136733, 1781790274294991
113718170078, 1781790274328284
113718203423, 1781790274365045
113718236768, 1781790274395321
